conv_id,text,intent,sector,sentiment,turns,_synthetic
conv_00384,"[customer] Oi, vc pode me ajudar? Quero contratar um plano de internet banda larga, mas td que eu faço daqui não funciona, show
[agent] Beleza, posso te ajudar com isso! Qual é o problema que você está enfrentando ao tentar contratar o plano? Você já tem alguma linha conosco?
[customer] Não, não tenho nada com vc. Eu tentei fazer pelo site, mas não consigo avançar na compra, da erro td hora
[agent] Entendi, vamos tentar resolver isso. Você pode me fornecer mais detalhes sobre o erro que está aparecendo? É um código de erro ou uma mensagem específica?
[customer] Não lembro exatamente, mas era algo sobre problema no cadastro, td bem complicado, vc pode me ligar para resolver isso?
[agent] Claro, posso te ligar para ajudar a resolver o problema. Você pode me passar o seu número de telefone e um bom horário para ligar? Vou verificar o que está acontecendo e resolver isso para você
[customer] Ta bom, meu numero é 99999-9999, pode me ligar agora?
[agent] Certo, já estou te ligando. Se não atender, por favor, me ligue de volta. Vou resolver isso para você o mais rápido possível",compra,telecom,negative,8,False
conv_00893,"[customer] Oi, tudo bem? vc pode me ajudar com um problema que eu tive com o sistema ontem?
[agent] Beleza, tudo bem sim! Claro que posso te ajudar. Qual foi o problema que você enfrentou?
[customer] eu tentei acessar o relatorio de vendas, mas o sistema deu erro e nao consegui ver td. Show, foi um problema bem chato
[agent] Entendi, sinto muito pelo inconveniente. Você pode me fornecer mais detalhes sobre o erro? Qual foi a mensagem de erro exatamente?
[customer] nao lembro exatamente, mas era algo sobre conexao com o banco de dados. vc acha que pode ser algum problema com a minha conta?
[agent] Sim, é possível. Vou verificar se há algum problema com a sua conta ou se é um problema mais amplo no sistema. Você pode aguardar um minutinho enquanto eu verifico?
[customer] ta bom, obrigado pela ajuda!
[agent] De nada! Encontrei o problema e já estou enviando um ticket para a equipe de desenvolvimento resolver. Você deve receber um e-mail com atualizações em breve.",reclamacao,tecnologia,positive,8,False
conv_00398,"[customer] Olá, vc pode me ajudar a cancelar o meu plano de internet? Td isso ta muito caro e o sinal ta muito ruim
[agent] Beleza, posso te ajudar com isso. Qual é o seu número de telefone ou código do cliente para que eu possa verificar os detalhes do seu plano?
[customer] Meu numero é 123456789, show, espero que vc consiga resolver isso rápido
[agent] Ta bom, encontrei o seu cadastro. Para cancelar o plano, preciso saber se você tem algum equipamento em sua posse, como roteador, que precise ser devolvido
[customer] Sim, tenho o roteador, mas não sei se vou conseguir devolver, vc pode me explicar como funciona a devolução?
[agent] Claro, você pode devolver o equipamento em uma de nossas lojas ou nós podemos agendar uma coleta. Vou te enviar um e-mail com as instruções detalhadas. Além disso, você precisa saber que o cancelamento do plano terá uma cobrança proporcional até a data de efetivo cancelamento
[customer] Ok, beleza, entendi. Pode me enviar o e-mail com as infos e vamos resolver isso
[agent] Já estou enviando o e-mail para você. Se tiver mais alguma dúvida, é só me chamar. O cancelamento do seu plano será processado e você receberá uma confirmação por e-mail",cancelamento,telecom,negative,8,False
conv_00652,"[customer] oi, vc tem aquele lanche de frango que td mundo ta falando?
[agent] Beleza! Sim, temos o nosso famoso Frango Crocante. Ele é um dos nossos produtos mais populares. Quer saber mais sobre ele?
[customer] show, me fala mais! qual o preco e se tem disponibilidade pra entrega hoje
[agent] O Frango Crocante custa R$ 25,90 e sim, temos disponibilidade para entrega hoje. A entrega leva cerca de 45 minutos a 1 hora, dependendo do tráfego. Você quer fazer o pedido pelo app?
[customer] td bem, vou fazer o pedido agora. mas vc pode me dizer se tem alguma promoção ou desconto?
[agent] Deixe eu verificar. Ah, sim! Temos uma promoção de 10% de desconto para pedidos acima de R$ 50,00. Se você adicionar mais um item ao seu pedido, pode aproveitar essa oferta. Quer que eu te sugira algo para completar o pedido?
[customer] ta bom, me sugira algo que combine com o frango
[agent] Uma boa opção é nosso Batata Frita Caseira. Ela combina muito bem com o Frango Crocante e é uma das nossas opções mais populares. Vou te ajudar a adicionar ao seu pedido, ok?",duvida_produto,restaurante,positive,8,False
conv_00703,"[customer] oi, vc pode me dizer como funciona o delivery pelo app?
[agent] Beleza! Claro, posso te explicar. O delivery pelo app é bem simples, você só precisa baixar o app, escolher o restaurante, fazer o pedido e pagar. Nós cuidamos do resto.
[customer] show, td bem. mas como eu faço pra saber se vc td entrega na minha area?
[agent] Ta bom, é fácil! Você pode colocar o seu cep no app e ele vai te dizer se entregamos na sua área. Ou, se preferir, pode me passar o seu cep que eu posso verificar aqui.
[customer] ok, meu cep é 12345-000. vc entrega la?
[agent] Verifiquei aqui e sim, entregamos na sua área. O prazo de entrega é de cerca de 45 minutos a 1 hora, dependendo do trânsito. Você quer fazer um pedido agora?
[customer] sim, quero. como eu faço pra escolher o que eu quero?
[agent] Você pode escolher os pratos pelo app ou, se preferir, posso te ajudar a escolher. Qual é o seu gosto? Quer algo específico ou uma recomendação?",compra,restaurante,neutral,8,False
conv_00753,"[customer] E aí, tudo bem? Quero saber sobre os imóveis que vc tem a venda
[agent] Beleza! Tudo show aqui. Nós temos uma variedade de imóveis para venda e aluguel. Qual é o tipo de imóvel que você está procurando? Apartamento, casa, etc.?
[customer] Td bem, estou procurando um apartamento. Quero saber se vc tem alguma opção em São Paulo
[agent] Sim, temos várias opções de apartamentos em São Paulo. Qual é o bairro que você está interessado? E qual é o seu orçamento aproximado?
[customer] Ta bom, estou procurando algo em Moema. O meu orçamento é de até 800 mil reais
[agent] Certo, vou verificar nossas opções em Moema. Já posso te dizer que temos alguns apartamentos novos na região, com 2 e 3 quartos. Você gostaria que eu enviasse algumas opções por e-mail ou preferiria marcar uma visita?
[customer] Show, me envie por e-mail que eu vejo e depois a gente combina uma visita
[agent] Beleza! Já estou enviando as opções para o seu e-mail. Se tiver alguma dúvida ou precisar de mais informações, é só me ligar ou responder ao e-mail. Obrigado por considerar nossa imobiliária!",saudacao,imobiliario,neutral,8,False
conv_00049,"[customer] Oi, vc pode me ajudar com uma duvida sobre o meu cartao?
[agent] Claro, beleza! Estou aqui para ajudar. Qual a duvida sobre o cartao?
[customer] Eu td bem com o cartao, mas queria saber se posso usar ele fora do brasil
[agent] Show, que bom saber que td bem com o cartao! Sim, voce pode usar ele fora do Brasil, pois ele e internacional. No entanto, recomendo verificar as taxas de conversao e eventuais cobranças antes de usar
[customer] Beleza, obrigado pela informacao! Mais uma coisa, como eu faço para ativar o cartao para compras online?
[agent] Ta bom, para ativar o cartao para compras online, basta acessar o nosso aplicativo, ir em configuracoes e ativar a opcao de compras online. Se tiver alguma duvida, estou aqui para ajudar
[customer] Ok, entendi. Obrigado pelo atendimento, voce foi muito ajudado
[agent] De nada, foi um prazer ajudar! Se tiver mais alguma duvida ou precisar de ajuda, nao hesite em entrar em contato",elogio,financeiro,neutral,8,False
conv_00928,"[customer] Oi, tudo bem? Quero cancelar o servico de vc, ta bom?
[agent] Beleza! Claro, posso ajudar com isso. Qual o motivo do cancelamento? E pode me informar o seu ID de cliente ou o email associado à conta para que eu possa localizar seus dados?
[customer] td bem, o servico esta show, mas eu não estou usando mais. Meu email é fulano@gmail.com, vc consegue achar?
[agent] Encontrei sua conta, obrigado! Vou iniciar o processo de cancelamento. Você receberá um email de confirmação assim que tudo for finalizado. Além disso, gostaríamos de saber se você tem alguma sugestão para melhorarmos nossos serviços.
[customer] Muito obrigado, vc foi super atencioso! Não tenho sugestões, o servico é muito bom, como disse, só não estou usando mais. Se precisar de algo, já sei onde encontrar
[agent] Muito obrigado por suas palavras! Fico feliz em saber que nossa equipe e nossos serviços estão no caminho certo. Se tiver alguma dúvida ou precisar de algo no futuro, não hesite em entrar em contato. Tenha um ótimo dia!",cancelamento,tecnologia,positive,6,False
conv_00481,"[customer] Oi, vc pode me ajudar com o meu cadastro no portal da clinica? td q eu faço da erro
[agent] Claro, beleza! Posso te ajudar com isso. Qual é o erro exatamente que você está recebendo?
[customer] Diz q o meu usuario ou senha ta invalido, mas eu tenho certeza q estou digitando td certo
[agent] Entendi, show! Vou te pedir para verificar algumas coisas. Você pode tentar resetar a sua senha ou verificar se o seu usuário está correto?
[customer] Já tentei resetar a senha, mas continua dando erro. Acho q pode ser um problema no site
[agent] Ta bom, vamos verificar isso. Você pode me dar o seu número de contato ou o seu ID de cadastro para que eu possa verificar o que está acontecendo?
[customer] Meu ID é 12345. Obrigado pela ajuda
[agent] De nada! Vou verificar o que está acontecendo e retorno para você o mais rápido possível. Se precisar de mais alguma coisa, é só chamar",suporte_tecnico,saude,negative,8,False
conv_00730,"[customer] Eae, eu quero dar um elogio pro delivery que eu recebi ontem, td show!
[agent] Beleza! Muito obrigado pelo elogio! Qual foi o pedido que vc fez ontem?
[customer] Eu pedi um lanche e uma sobremesa, td chegou certinho e estava muito bom, vc tem alguma promoção agora?
[agent] Que legal! Sim, temos uma promoção de desconto de 10% para pedidos acima de R$50,00, você pode verificar no nosso app
[customer] Ok, ta bom, eu vou dar uma olhada, mas eu queria saber se vc tem alguma opção de entrega mais rápida?
[agent] Sim, temos a opção de entrega expressa, que leva cerca de 30 minutos, mas tem um acrescimo de R$5,00 no valor do pedido
[customer] Beleza, eu acho que vou optar pela entrega normal mesmo, mas obrigado pela informação!
[agent] De nada! Fico feliz em ter podido ajudar, se tiver mais alguma dúvida ou precisar de ajuda, é só chamar",elogio,restaurante,neutral,8,False
